Make,Year_of_manufacture,Condition,Mileage,Engine_Size,Fuel,Transmission,Price,Build
Mercedes-Benz,2007,Nigerian Used,147895,3274,Petrol,Automatic,4490000,SUV
Mercedes-Benz,2007,Foreign Used,209466,4700,Petrol,Automatic,4515000,SUV
Mercedes-Benz,2007,Nigerian Used,156155,3274,Petrol,Automatic,6730000,SUV
Mercedes-Benz,2017,Nigerian Used,31079,3000,Petrol,Automatic,41600000,SUV
Mercedes-Benz,2007,Nigerian Used,34590,3274,Petrol,Automatic,5834000,SUV
Mercedes-Benz,2007,Nigerian Used,81907,3274,Petrol,Automatic,3146000,SUV
Lexus,2010,Foreign Used,135819,3500,Petrol,Automatic,8610000,SUV
Mercedes-Benz,2007,Nigerian Used,95702,3274,Petrol,Manual,3706000,SUV
Mercedes-Benz,2015,Nigerian Used,120785,4500,Petrol,Automatic,18720000,SUV
Lexus,2006,Nigerian Used,156704,3300,Petrol,Automatic,3640000,SUV
Toyota,2013,Foreign Used,143701,1800,Petrol,Automatic,10400000,SUV
Lexus,2008,Nigerian Used,162262,4700,Petrol,Automatic,4725000,SUV
Land Rover,2007,Nigerian Used,179633,3274,Petrol,Automatic,5050000,SUV
Mercedes-Benz,2007,Nigerian Used,59295,3274,Petrol,Automatic,5610000,SUV
Land Rover,2011,Nigerian Used,132352,5000,Petrol,Automatic,5250000,SUV
Toyota,2010,Foreign Used,170599,3500,Petrol,Automatic,6825000,SUV
Lexus,2007,Foreign Used,203492,3500,Petrol,Automatic,4410000,SUV
Lexus,2014,Foreign Used,72352,3500,Petrol,Automatic,9240000,SUV
Mercedes-Benz,2007,Nigerian Used,13123,3274,Petrol,Automatic,39210000,SUV
Lexus,2007,Nigerian Used,63086,3274,Petrol,Automatic,7850000,SUV
Fiat,2007,Nigerian Used,174,3274,Petrol,Manual,11700000,SUV
Lexus,2015,Foreign Used,228013,3500,Petrol,Automatic,15600000,SUV
Mercedes-Benz,2014,Nigerian Used,173644,1800,Petrol,Automatic,6090000,SUV
Toyota,2015,Foreign Used,79277,4000,Petrol,Automatic,17680000,SUV
Lexus,2015,Nigerian Used,88745,3500,Petrol,Automatic,9450000,SUV
Fiat,2000,Foreign Used,286241,24000,Diesel,Manual,3675000,SUV
Toyota,2010,Foreign Used,158017,3500,Petrol,Automatic,6825000,SUV
Toyota,2012,Foreign Used,122807,3500,Petrol,Automatic,8820000,SUV
Lexus,2004,Foreign Used,250650,3500,Petrol,Automatic,6032000,SUV
Mercedes-Benz,2006,Nigerian Used,243975,3500,Petrol,Automatic,3360000,SUV
Lexus,2013,Foreign Used,192175,3500,Petrol,Automatic,9880000,SUV
Land Rover,2018,Foreign Used,30092,3000,Diesel,Automatic,36750000,SUV
Lexus,2014,Foreign Used,77859,3500,Petrol,Automatic,10400000,SUV
Mercedes-Benz,2012,Foreign Used,173337,3500,Petrol,Automatic,11025000,SUV
Toyota,2015,Foreign Used,88627,3500,Petrol,Automatic,15600000,SUV
Lexus,2007,Foreign Used,141782,4600,Petrol,Automatic,4368000,SUV
Lexus,2005,Foreign Used,95873,3300,Petrol,Automatic,5200000,SUV
Toyota,2011,Foreign Used,215398,3500,Petrol,Automatic,4725000,SUV
Mercedes-Benz,2010,Nigerian Used,112360,4600,Petrol,Automatic,6240000,SUV
Lexus,2007,Foreign Used,348830,3500,Petrol,Automatic,4095000,SUV
Lexus,2010,Foreign Used,344424,3500,Petrol,Automatic,9048000,SUV
Lexus,2007,Nigerian Used,170778,3300,Petrol,Automatic,4680000,SUV
Acura,2007,Foreign Used,233488,3700,Petrol,Automatic,3570000,SUV
Acura,2011,Nigerian Used,90726,3700,Petrol,Automatic,4200000,SUV
Mercedes-Benz,2014,Nigerian Used,152669,4700,Petrol,Automatic,13520000,SUV
Toyota,2015,Nigerian Used,47602,3500,Petrol,Automatic,9660000,SUV
Toyota,2008,Foreign Used,132566,4700,Petrol,Automatic,8320000,SUV
Lexus,2007,Foreign Used,255839,3500,Petrol,Automatic,5460000,SUV
Toyota,2013,Nigerian Used,126686,3500,Petrol,Automatic,7280000,SUV
Land Rover,2013,Nigerian Used,76069,4500,Petrol,Automatic,4200000,SUV
Toyota,2007,Foreign Used,401813,2400,Petrol,Automatic,3885000,SUV
Lexus,2002,Foreign Used,119143,3000,Petrol,Automatic,3848000,SUV
Land Rover,2011,Nigerian Used,26628,5000,Petrol,Automatic,9360000,SUV
Mercedes-Benz,2006,Nigerian Used,231361,5000,Petrol,Automatic,3675000,SUV
Lexus,2007,Foreign Used,175135,3500,Petrol,Automatic,4500000,SUV
Tata,2008,Foreign Used,182533,371000,Diesel,Manual,17850000,SUV
Lexus,2010,Nigerian Used,140073,3500,Petrol,Automatic,4784000,SUV
Toyota,2004,Foreign Used,294359,2400,Petrol,Automatic,4160000,SUV
Saturn,2007,Nigerian Used,182533,3600,Petrol,Automatic,3150000,SUV
Mercedes-Benz,2015,Foreign Used,39662,3500,Petrol,Automatic,14560000,SUV
Porsche,2004,Foreign Used,359713,4500,Petrol,Automatic,4200000,SUV
Mercedes-Benz,2010,Nigerian Used,96957,3500,Petrol,Automatic,6240000,SUV
Toyota,2014,Foreign Used,65308,2000,Petrol,Automatic,9450000,SUV
Lexus,2007,Foreign Used,198969,2500,Petrol,Automatic,4992000,SUV
Toyota,2007,Foreign Used,149184,4000,Petrol,Automatic,6448000,SUV
Lexus,2009,Foreign Used,173307,3500,Petrol,Automatic,4500000,SUV
Toyota,2009,Foreign Used,208827,2400,Petrol,Automatic,3952000,SUV
Lexus,2006,Foreign Used,376865,3500,Petrol,Automatic,4680000,SUV
Lexus,2014,Foreign Used,139592,4600,Petrol,Automatic,23920000,SUV
Lexus,2008,Nigerian Used,97315,3200,Petrol,Automatic,3640000,SUV
Toyota,2015,Foreign Used,96531,3500,Petrol,Automatic,10290000,SUV
Acura,2011,Nigerian Used,78613,3700,Petrol,Automatic,6240000,SUV
Lexus,2006,Foreign Used,100763,3000,Petrol,Automatic,3150000,SUV
Mercedes-Benz,2010,Foreign Used,182533,2500,Petrol,Automatic,4200000,SUV
Toyota,2007,Nigerian Used,104336,2400,Petrol,Automatic,3328000,SUV
Lexus,2007,Foreign Used,65060,3500,Petrol,AMT,3885000,SUV
Mercedes-Benz,2007,Nigerian Used,1966,35,Petrol,Automatic,5720000,SUV
Toyota,2017,Foreign Used,107748,2500,Petrol,Automatic,12600000,SUV
Lexus,2011,Foreign Used,137902,3000,Petrol,Automatic,4992000,SUV
Mercedes-Benz,2009,Nigerian Used,121829,4600,Petrol,Automatic,5720000,SUV
Mercedes-Benz,2013,Foreign Used,232813,4700,Petrol,Automatic,14560000,SUV
Lexus,2007,Foreign Used,124511,3500,Petrol,Automatic,4200000,SUV
Lexus,2015,Nigerian Used,24855,3500,Petrol,Automatic,10920000,SUV
Land Rover,2006,Foreign Used,213515,4400,Petrol,Automatic,3150000,SUV
Toyota,2011,Nigerian Used,114388,4000,Petrol,Automatic,10500000,SUV
Mercedes-Benz,2008,Foreign Used,227689,3500,Petrol,Automatic,3885000,SUV
Toyota,2010,Foreign Used,236601,2500,Petrol,Automatic,6448000,SUV
Land Rover,2016,Foreign Used,102429,35,Petrol,Automatic,36750000,SUV
Mercedes-Benz,2011,Nigerian Used,112122,4700,Petrol,Automatic,6760000,SUV
Lexus,2004,Nigerian Used,98430,4700,Petrol,Automatic,4680000,SUV
Toyota,2008,Foreign Used,93474,3500,Petrol,Automatic,6300000,SUV
Toyota,2011,Foreign Used,211357,2500,Petrol,Automatic,4515000,SUV
Mercedes-Benz,2015,Foreign Used,168946,3500,Petrol,Automatic,17680000,SUV
Toyota,2015,Nigerian Used,67161,2500,Petrol,Automatic,10400000,SUV
Lexus,2007,Foreign Used,104138,3500,Petrol,Automatic,5928000,SUV
Toyota,2010,Foreign Used,158684,2500,Petrol,Automatic,3780000,SUV
Mercedes-Benz,2012,Foreign Used,165585,3500,Petrol,Automatic,13520000,SUV
Toyota,2008,Nigerian Used,118743,3500,Petrol,Automatic,4784000,SUV
Toyota,2010,Foreign Used,131164,2700,Petrol,Automatic,6090000,SUV
Toyota,2009,Foreign Used,168603,2500,Petrol,Automatic,4620000,SUV
Lexus,2009,Foreign Used,246462,3500,Petrol,Automatic,5200000,SUV
Land Rover,2014,Nigerian Used,56908,5000,Petrol,Automatic,26000000,SUV
Lexus,2008,Foreign Used,200262,35000,Petrol,Automatic,4680000,SUV
Toyota,2009,Nigerian Used,205371,3500,Petrol,Automatic,7072000,SUV
Mercedes-Benz,2006,Nigerian Used,380097,5000,Petrol,Automatic,5200000,SUV
Lexus,2001,Foreign Used,199731,3000,Petrol,Automatic,3150000,SUV
Lexus,2008,Foreign Used,85901,3500,Petrol,Automatic,3885000,SUV
Toyota,2005,Foreign Used,260730,4700,Petrol,Automatic,4992000,SUV
Toyota,2007,Foreign Used,274477,2400,Petrol,Automatic,3640000,SUV
Toyota,2011,Foreign Used,166839,2500,Petrol,Automatic,4160000,SUV
Mercedes-Benz,2007,Nigerian Used,118616,3274,Petrol,Automatic,11210000,SUV
Toyota,2014,Foreign Used,70649,3500,Petrol,Automatic,8400000,SUV
Mercedes-Benz,2008,Nigerian Used,215559,3274,Petrol,Automatic,6032000,SUV
Mercedes-Benz,2008,Nigerian Used,650,4000,Petrol,Automatic,6760000,SUV
Toyota,2013,Nigerian Used,79393,4700,Petrol,Automatic,26000000,SUV
Toyota,2010,Foreign Used,237886,2400,Petrol,Automatic,3675000,SUV
Lexus,2006,Nigerian Used,144513,3300,Petrol,Automatic,3744000,SUV
Mercedes-Benz,2016,Nigerian Used,62476,3500,Petrol,Automatic,15750000,SUV
Lexus,2008,Nigerian Used,224605,4600,Petrol,Automatic,4725000,SUV
Toyota,2016,Foreign Used,149753,2500,Hybrid,Automatic,5985000,SUV
Toyota,2013,Foreign Used,169183,2700,Petrol,Automatic,8610000,SUV
Mercedes-Benz,2013,Foreign Used,222344,3500,Petrol,Automatic,8925000,SUV
Toyota,2011,Foreign Used,93785,3000,Petrol,Automatic,8528000,SUV
Mercedes-Benz,2010,Nigerian Used,299309,4600,Petrol,Automatic,5775000,SUV
Toyota,2009,Foreign Used,137397,2400,Petrol,Automatic,3952000,SUV
Acura,2011,Nigerian Used,178050,3700,Petrol,Automatic,5200000,SUV
Toyota,2015,Foreign Used,218139,2700,Petrol,Automatic,8925000,SUV
Mercedes-Benz,2008,Foreign Used,175183,3000,Petrol,Automatic,4680000,SUV
Mercedes-Benz,2014,Foreign Used,83189,2000,Petrol,Automatic,11232000,SUV
Land Rover,2006,Nigerian Used,113872,4400,Petrol,Automatic,3120000,SUV
Mercedes-Benz,2007,Nigerian Used,110228,4500,Petrol,Automatic,5200000,SUV
Toyota,2011,Foreign Used,257742,3500,Petrol,Automatic,4935000,SUV
Toyota,2014,Foreign Used,86077,3500,Petrol,Automatic,14700000,SUV
Toyota,2012,Nigerian Used,76334,3500,Petrol,Automatic,5565000,SUV
Mercedes-Benz,2011,Nigerian Used,193201,3500,Petrol,Automatic,5616000,SUV
Mercedes-Benz,2006,Foreign Used,239529,5000,Petrol,Automatic,4515000,SUV
Land Rover,2006,Foreign Used,118872,3500,Petrol,Automatic,3150000,SUV
Toyota,2014,Foreign Used,89208,2500,Petrol,Automatic,5250000,SUV
Lexus,2008,Nigerian Used,186699,3500,Petrol,Automatic,3640000,SUV
Lexus,2007,Nigerian Used,156579,3500,Petrol,Automatic,5200000,SUV
Lexus,2014,Nigerian Used,69129,4600,Petrol,Automatic,18375000,SUV
Land Rover,2011,Nigerian Used,7842,4000,Petrol,Automatic,6825000,SUV
Toyota,2010,Nigerian Used,106427,3500,Petrol,Automatic,6968000,SUV
Toyota,2016,Foreign Used,55055,2500,Petrol,Automatic,6720000,SUV
Lexus,2008,Foreign Used,323768,3500,Petrol,Automatic,3832500,SUV
Lincoln,2019,Nigerian Used,35976,2000,Petrol,Automatic,17850000,SUV
Toyota,2017,Nigerian Used,101979,3500,Petrol,Automatic,15600000,SUV
Toyota,2015,Foreign Used,40962,2500,Petrol,Automatic,10400000,SUV
Toyota,2011,Foreign Used,142689,2400,Petrol,Automatic,4680000,SUV
Mercedes-Benz,2012,Nigerian Used,99661,3500,Petrol,Automatic,7280000,SUV
Mercedes-Benz,2010,Foreign Used,242841,3500,Petrol,Automatic,6615000,SUV
Lexus,2012,Foreign Used,135295,3500,Petrol,Automatic,7072000,SUV
Mercedes-Benz,2013,Nigerian Used,90604,4700,Petrol,Automatic,15600000,SUV
Land Rover,2006,Nigerian Used,137818,4000,Petrol,Automatic,3328000,SUV
Lexus,2007,Nigerian Used,177336,3500,Petrol,Automatic,3650000,SUV
Toyota,2010,Foreign Used,159981,3500,Petrol,Automatic,7560000,SUV
Land Rover,2010,Nigerian Used,140366,50000,Petrol,Automatic,4200000,SUV
Lexus,2012,Foreign Used,134949,3500,Petrol,Automatic,10192000,SUV
Toyota,2008,Foreign Used,197403,3500,Petrol,Automatic,4200000,SUV
Lexus,2007,Foreign Used,258585,35000,Petrol,Automatic,4160000,SUV
Mercedes-Benz,2014,Nigerian Used,51111,2000,Petrol,Automatic,8320000,SUV
Mercedes-Benz,2017,Nigerian Used,33853,3000,Petrol,Automatic,33280000,SUV
Toyota,2015,Foreign Used,150157,2700,Petrol,Automatic,10400000,SUV
Lexus,2007,Foreign Used,175836,3500,Petrol,Automatic,4680000,SUV
Toyota,2010,Foreign Used,214972,2500,Petrol,Automatic,3675000,SUV
Lexus,2007,Foreign Used,110621,2500,Petrol,Automatic,4095000,SUV
GMC,2008,Nigerian Used,167643,3600,Petrol,Automatic,3360000,SUV
Mercedes-Benz,2015,Foreign Used,111697,3200,Petrol,Automatic,11550000,SUV
Lexus,2005,Foreign Used,184460,3000,Petrol,Automatic,3675000,SUV
Toyota,2009,Foreign Used,176951,2700,Petrol,Automatic,6300000,SUV
Acura,2010,Foreign Used,147282,3700,Petrol,Automatic,9360000,SUV
Lexus,2010,Nigerian Used,203171,4600,Petrol,Automatic,13520000,SUV
Mercedes-Benz,2014,Foreign Used,33820,3500,Petrol,Automatic,11440000,SUV
Lexus,2007,Foreign Used,158117,3500,Petrol,Automatic,3675000,SUV
Toyota,2009,Foreign Used,127674,2700,Petrol,Automatic,7140000,SUV
Mercedes-Benz,2009,Nigerian Used,100337,4600,Petrol,Automatic,4472000,SUV
Toyota,2014,Foreign Used,40470,4000,Petrol,Automatic,26000000,SUV
Toyota,2015,Nigerian Used,37591,3500,Petrol,Automatic,12480000,SUV
Land Rover,2012,Nigerian Used,22281,4900,Petrol,Automatic,8320000,SUV
Toyota,2011,Foreign Used,185047,2500,Petrol,Automatic,4200000,SUV
Toyota,2012,Foreign Used,170038,2400,Petrol,Automatic,5250000,SUV
Toyota,2018,Foreign Used,106543,2800,Petrol,Automatic,13520000,SUV
Toyota,2008,Foreign Used,86802,2400,Petrol,Automatic,3045000,SUV
Land Rover,2003,Foreign Used,182533,3500,Petrol,Automatic,3150000,SUV
Toyota,2013,Foreign Used,195785,3500,Petrol,Automatic,10400000,SUV
Toyota,2008,Nigerian Used,155618,2400,Petrol,Automatic,3016000,SUV
Mercedes-Benz,2016,Foreign Used,12053,35000,Petrol,Automatic,13520000,SUV
Lexus,2017,Foreign Used,26250,3500,Petrol,Automatic,23920000,SUV
Lexus,2010,Foreign Used,193624,3500,Petrol,Automatic,6032000,SUV
Lexus,2005,Foreign Used,124007,3300,Petrol,Automatic,3150000,SUV
Toyota,2015,Foreign Used,261250,2500,Petrol,Automatic,6300000,SUV
Mercedes-Benz,2018,Foreign Used,115896,3500,Petrol,Automatic,24150000,SUV
Mercedes-Benz,2004,Foreign Used,204436,2600,Petrol,Automatic,3675000,SUV
Mercedes-Benz,2012,Foreign Used,280554,3500,Petrol,Automatic,9360000,SUV
Toyota,2012,Foreign Used,373365,2500,Petrol,Automatic,4725000,SUV
Mercedes-Benz,2018,Foreign Used,56263,3000,Petrol,Automatic,52000000,SUV
Toyota,2009,Foreign Used,104917,2400,Petrol,Automatic,3465000,SUV
Mercedes-Benz,2013,Foreign Used,225174,3500,Petrol,Automatic,13520000,SUV
Lexus,2007,Foreign Used,203757,3500,Petrol,Automatic,4576000,SUV
Lexus,2005,Foreign Used,123282,3000,Petrol,Automatic,3150000,SUV
Toyota,2012,Foreign Used,172079,2500,Petrol,Automatic,5250000,SUV
Toyota,2017,Foreign Used,78320,2500,Petrol,Automatic,7035000,SUV
Toyota,2014,Foreign Used,115296,3500,Petrol,Automatic,15600000,SUV
Lexus,2008,Nigerian Used,142273,3500,Petrol,Automatic,4680000,SUV
Land Rover,2018,Foreign Used,59656,3000,Diesel,Automatic,42000000,SUV
Toyota,2011,Foreign Used,145489,2500,Petrol,Automatic,3885000,SUV
Toyota,2019,Foreign Used,63646,2500,Petrol,Automatic,16800000,SUV
Mercedes-Benz,2015,Nigerian Used,61515,3500,Petrol,Automatic,14560000,SUV
Toyota,2012,Nigerian Used,47180,2700,Petrol,Automatic,14560000,SUV
Lexus,2008,Foreign Used,73213,2500,Petrol,Automatic,3360000,SUV
Lexus,2004,Foreign Used,272206,4700,Petrol,Automatic,11440000,SUV
Lexus,2008,Foreign Used,227424,2500,Petrol,Automatic,4472000,SUV
Mercedes-Benz,2007,Nigerian Used,226924,3274,Petrol,Automatic,6394000,SUV
Lexus,2006,Nigerian Used,160209,2500,Petrol,Automatic,4160000,SUV
Mercedes-Benz,2017,Foreign Used,62879,2000,Petrol,Automatic,13650000,SUV
Mercedes-Benz,2011,Nigerian Used,101316,3500,Petrol,Automatic,5720000,SUV
Lexus,2006,Nigerian Used,210014,4700,Petrol,Automatic,4160000,SUV
Mercedes-Benz,2009,Foreign Used,232438,3500,Petrol,Automatic,6300000,SUV
Toyota,2011,Foreign Used,317231,2400,Petrol,Automatic,4472000,SUV
Toyota,2012,Foreign Used,325938,2500,Petrol,Automatic,5250000,SUV
Mercedes-Benz,2012,Foreign Used,148637,3500,Petrol,Automatic,13000000,SUV
Toyota,2009,Nigerian Used,149599,3500,Petrol,Automatic,5200000,SUV
Toyota,2015,Foreign Used,354563,2400,Petrol,Manual,15750000,SUV
Lexus,2007,Foreign Used,260907,3500,Petrol,Automatic,3885000,SUV
Toyota,2011,Foreign Used,89330,3500,Petrol,Automatic,7875000,SUV
Acura,2007,Foreign Used,196814,3700,Petrol,Automatic,3570000,SUV
Lexus,2006,Nigerian Used,154378,3274,Petrol,Automatic,4725000,SUV
Lexus,2006,Nigerian Used,157518,3300,Petrol,Automatic,4160000,SUV
Lexus,2018,Foreign Used,47581,20,Petrol,Automatic,15750000,SUV
Acura,2008,Nigerian Used,174107,3700,Petrol,Automatic,3744000,SUV
Acura,2007,Foreign Used,142822,2300,Petrol,Automatic,3570000,SUV
Mercedes-Benz,2011,Foreign Used,203172,3500,Petrol,Automatic,4410000,SUV
Land Rover,2008,Foreign Used,418613,4400,Petrol,Automatic,5250000,SUV
Toyota,2013,Nigerian Used,103941,2700,Petrol,Automatic,12480000,SUV
Toyota,2007,Nigerian Used,81648,3274,Petrol,Automatic,7290000,SUV
Lincoln,2008,Foreign Used,186615,3500,Petrol,Automatic,3990000,SUV
Mercedes-Benz,2010,Foreign Used,149647,3500,Petrol,Automatic,8112000,SUV
Mercedes-Benz,2011,Nigerian Used,73624,3500,Petrol,Automatic,5250000,SUV
Land Rover,2013,Nigerian Used,70430,2000,Petrol,Automatic,9360000,SUV
Toyota,2011,Foreign Used,244495,3500,Petrol,Automatic,6090000,SUV
Toyota,2013,Foreign Used,135027,2500,Petrol,Automatic,5616000,SUV
Mercedes-Benz,2007,Nigerian Used,144059,3274,Petrol,Automatic,4490000,SUV
Toyota,2006,Foreign Used,389832,3500,Petrol,Automatic,3045000,SUV
Mercedes-Benz,2007,Nigerian Used,109703,3274,Petrol,Automatic,5610000,SUV
Land Rover,2008,Nigerian Used,178780,4700,Petrol,Automatic,3150000,SUV
Lexus,2002,Foreign Used,132618,3000,Petrol,Automatic,3328000,SUV
Mercedes-Benz,2007,Nigerian Used,91151,3274,Petrol,Automatic,6170000,SUV
Mercedes-Benz,2010,Nigerian Used,220223,3000,Petrol,Automatic,4680000,SUV
Toyota,2009,Foreign Used,124609,3500,Petrol,Automatic,5775000,SUV
Lexus,2004,Foreign Used,158812,3300,Petrol,Automatic,5408000,SUV
Lexus,2003,Foreign Used,239713,4700,Petrol,Automatic,5565000,SUV
Toyota,2015,Foreign Used,147257,2500,Petrol,Automatic,6615000,SUV
Lexus,2010,Nigerian Used,114626,3500,Hybrid,Automatic,6760000,SUV
Lexus,2007,Foreign Used,151892,3500,Petrol,Automatic,5200000,SUV
Toyota,2016,Foreign Used,61068,2500,Petrol,Automatic,7245000,SUV
Land Rover,2016,Foreign Used,70973,2000,Petrol,Automatic,11550000,SUV
Lexus,2008,Foreign Used,155216,3500,Petrol,Automatic,4888000,SUV
Toyota,2011,Nigerian Used,235681,3500,Petrol,Automatic,8528000,SUV
Mercedes-Benz,2007,Nigerian Used,77475,3274,Petrol,Automatic,3395000,SUV
Toyota,2012,Foreign Used,125026,3500,Petrol,Automatic,8715000,SUV
Lexus,2004,Nigerian Used,182533,33000,Petrol,Automatic,3045000,SUV
Mercedes-Benz,2020,Foreign Used,20106,2000,Petrol,Automatic,58800000,SUV
Toyota,2014,Nigerian Used,129798,3000,Petrol,Automatic,4784000,SUV
Toyota,2010,Nigerian Used,161209,2700,Petrol,Automatic,5408000,SUV
Mercedes-Benz,2008,Nigerian Used,1305,3500,Petrol,Automatic,3432000,SUV
Lexus,2004,Nigerian Used,366454,3300,Petrol,Automatic,3432000,SUV
Lexus,2008,Nigerian Used,243860,3500,Petrol,Automatic,3045000,SUV
Mercedes-Benz,2009,Nigerian Used,175241,3500,Petrol,Automatic,3675000,SUV
Mercedes-Benz,2010,Nigerian Used,191748,3600,Petrol,Automatic,4160000,SUV
Toyota,2019,Brand New,10427,24,Petrol,Automatic,30450000,SUV
Mercedes-Benz,2007,Nigerian Used,144784,3274,Petrol,Automatic,4266000,SUV
Toyota,2014,Foreign Used,104291,2400,Petrol,Automatic,5720000,SUV
Toyota,2007,Nigerian Used,46056,3274,Petrol,Automatic,22410000,SUV
Toyota,2011,Foreign Used,160336,3500,Petrol,Automatic,6240000,SUV
Renault,2005,Nigerian Used,60207,2000,Petrol,Automatic,3675000,SUV
Lexus,2007,Foreign Used,131510,3500,Petrol,Automatic,4680000,SUV
Toyota,2008,Nigerian Used,113236,3500,Petrol,Automatic,3885000,SUV
Mercedes-Benz,2007,Nigerian Used,49835,3274,Petrol,Automatic,18826000,SUV
Toyota,2005,Foreign Used,354671,3300,Petrol,Automatic,3780000,SUV
Toyota,2010,Foreign Used,144121,2000,Petrol,Automatic,12600000,SUV
Toyota,2007,Foreign Used,154843,3500,Petrol,Automatic,3255000,SUV
Lexus,2007,Foreign Used,377520,4600,Petrol,Automatic,4200000,SUV
Toyota,2008,Nigerian Used,198747,30,Petrol,Automatic,4200000,SUV
Toyota,2016,Foreign Used,16548,2500,Petrol,Automatic,12480000,SUV
Toyota,2014,Foreign Used,119965,2500,Petrol,Automatic,4410000,SUV
Mercedes-Benz,2007,Nigerian Used,80888,3274,Petrol,Automatic,5610000,SUV
Lexus,2010,Foreign Used,188896,3500,Petrol,Manual,5775000,SUV
Mercedes-Benz,2007,Nigerian Used,66491,3274,Petrol,Automatic,4610000,SUV
